id,service_name,service_id,product_id,shortcode,keyword,mo_url,service_type,creation_time,modification_time,service_status,service_created_by,sending_time,sms_status,try
"1","ATN Bangla Breaking News alert service","0303413052","0303413052","5959","AB",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"2","ATN Bangla Programme Schedule alert service","0303413054","0303413054","5959","APS",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"3","ATN Bangla Sports Update alert service","0303413053","0303413053","5959","S",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"4","ATN News TV Portal","0303413171","0303413171","5959","AW",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"5","ATN WAP Subscription alert service","0303413055","0303413055","5959","ATN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"6","Beauty Tips alert service","0303413023","0303413023","5959","B",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"7","BOISHAKHI WAP Subscription alert service","0303413056","0303413056","5959","BSK",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"8","Breaking News alert service","0303413019","0303413019","5959","BN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"9","Breaking News alert service","0303413043","0303413043","5959","SB",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"10","Business News alert service","0303413027","0303413027","5959","SBZ",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"11","CareerTips alert service","0303413047","0303413047","5959","SCT",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"12","Celebrity Info alert service","0303413031","0303413031","5959","SCI",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"13","Channel 16 Media Gossip alert service","0303413057","0303413057","5959","SMG",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"14","Channel i News Update alert service","0303413059","0303413059","5959","CHI",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"15","Channel i Programme Schedule alert service","0303413058","0303413058","5959","CHP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"16","Cricket News alert service","0303413049","0303413049","5959","CRIC",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"17","Daily Manabzamin Breaking News alert service","0303413060","0303413060","5959","MB",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"18","Daily Manabzamin Daily News alert service","0303413063","0303413063","5959","MD",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"19","Daily Manabzamin Morning News alert service","0303413064","0303413064","5959","MM",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"20","Daily Manabzamin Namaz Alert alert service","0303413062","0303413062","5959","MNA",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"21","Daily Manabzamin Sehri & Iftar Alert alert service","0303413065","0303413065","5959","MSI",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"22","Daily Manabzamin Sport News alert service","0303413061","0303413061","5959","MS",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"23","Daily News alert service","0303413032","0303413032","5959","SD",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"24","Dhakar KanthoNews Update alert service","0303413066","0303413066","5959","DK",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"25","DhakaTimes24_Com Breaking News alert service","0303413071","0303413071","5959","DTB",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"26","DhakaTimes24_Com Daily News alert service","0303413069","0303413069","5959","DTD",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"27","DhakaTimes24_Com Entertainment News alert service","0303413068","0303413068","5959","DTE",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"28","DhakaTimes24_Com Sports News alert service","0303413070","0303413070","5959","DTS",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"29","DhakaTimes24_Com Stock News alert service","0303413067","0303413067","5959","DTST",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"30","Dnewsd.com Sports News alert service","0303413072","0303413072","5959","DSN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"31","Dnewsd.comBraking News alert service","0303413073","0303413073","5959","DBN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"32","dorre student_bar alert service","0303413078","0303413078","5959","DORRE7",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"33","dorre student_chi alert service","0303413080","0303413080","5959","DORRE2",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"34","dorre student_dha alert service","0303413079","0303413079","5959","DORRE1",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"35","dorre student_khu alert service","0303413076","0303413076","5959","DORRE3",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"36","dorre student_raj alert service","0303413074","0303413074","5959","DORRE4",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"37","dorre student_ran alert service","0303413077","0303413077","5959","DORRE5",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"38","dorre student_syl alert service","0303413075","0303413075","5959","DORRE6",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"39","Drama Portal (GDL)","0303413179","0303413179","5959","GDLDP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"40","Drama Portal (GPhone)","0303413180","0303413180","5959","GPDP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"41","Drama Portal (Imax)","0303413156","0303413156","5959","IDP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"42","Drama Portal (Maxis)","0303413157","0303413157","5959","MDP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"43","Drama Portal (Mode)","0303413178","0303413178","5959","MODP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"44","Drama Portal (My cell)","0303413186","0303413186","5959","MCDP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"45","Drama Portal (Octenn)","0303413154","0303413154","5959","ODP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"46","Drama Portal (Symphony)","0303413184","0303413184","5959","SDP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"47","Drama Portal (Winmax)","0303413155","0303413155","5959","WDP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"48","Drama Portal(Kingstar)","0303413158","0303413158","5959","KDP",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"49","Entertainment News alert service","0303413015","0303413015","5959","SEN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"50","ETV Breaking News alert service","0303413082","0303413082","5959","EB",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"51","ETV Daily News alert service","0303413086","0303413086","5959","ED",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"52","ETV Entertainment News alert service","0303413083","0303413083","5959","EEN",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
"53","ETV Media Gossip alert service","0303413087","0303413087","5959","EMG",\N,"Subscription",\N,\N,"1",\N,\N,"processing","0"
